Title,Price,Price_Origin,Link,Image,Retailer,TimeStamp,Source,Delta
"E26 LED Corn Light Bulb 20W Wenscha T10 LED Light Bulbs 100Watt Equivalent 3000K Soft Warm White, 1500 Lumen Super Bright LED Desk Lamp Aquarium Pendant Light Tubular Bulb Non-Dimmable Pack of 4",39.99,0,https://www.amazon.ca/dp/B08QMR5VQS/,https://m.media-amazon.com/images/I/61gAaj99QuS._AC_UY218_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-39.99
Yesurprise Men's Thermal Underwear Sets Top & Long Johns Fleece Sweat Quick Drying,39.99,0,https://www.amazon.ca/dp/B07XPMH7FY/,https://m.media-amazon.com/images/I/618gXchAQBL._AC_UY218_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-39.99
"FunVZU Inflatable Paddle Boards - Stand up Paddleboard - Non-Slip, Durable and Lightweight Inflatable SUP 10'6"" x 32"" x 6"" iSUP Package with All Accessories",369.99,0,https://www.amazon.ca/dp/B097LC52MR/,https://m.media-amazon.com/images/I/71ewHRHiFPL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-369.99
"Womens Color Block Long Sleeve Round Neck Shirts Pullover Sweatshirt Tops, S-2XL",36.99,0,https://www.amazon.ca/dp/B099ZHYP37/,https://m.media-amazon.com/images/I/71giHRSnN7L._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-36.99
"imrusan Womens Tops Crew Neck Soft T-Shirts Solid Color Sleeveless/Long Sleeve Tunic Casual Loose Blouses, S-2XL",36.99,0,https://www.amazon.ca/dp/B09BN2Q4J5/,https://m.media-amazon.com/images/I/71MVR8rsKiL._AC_UY218_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-36.99
"Tower Power Bar with Surge Protector, Flat Plug Extension Cord Indoor 6.5 Feet, 11 Widely Spaced AC Outlets, 3 USB Ports, TESSAN Power Strip Multi Plug Desk Charging Station, Home Office Accessories",35.99,0,https://www.amazon.ca/dp/B08LR6SGHJ/,https://m.media-amazon.com/images/I/61R4LAuy23S._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-35.99
"Tower Power Bar with Surge Protector, Flat Plug Extension Cord Indoor 6.5 Feet, 11 Widely Spaced AC Outlets, 3 USB Ports, TESSAN Power Strip Multi Plug Desk Charging Station, Home Office Accessories",35.99,0,https://www.amazon.ca/dp/B08LR6SGHJ/,https://m.media-amazon.com/images/I/61R4LAuy23S._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-35.99
"Repel Umbrella Windproof Travel Umbrella - Compact, Light, Automatic, Strong and Portable - Wind Resistant, Small Folding Backpack Umbrella for Rain - Men and Women",35.95,0,https://www.amazon.ca/dp/B0160HYB8S/,https://m.media-amazon.com/images/I/51mF+wacbfS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-35.95
POLARPRA 150W LED Garage Lights - 15000LM LED Garage Ceiling Lights with 8 Adjustable LED Panels - 6500K Deformable Garage LED Lighting E26/E27 Screw in Garage Lights for Basement Warehouse Attic,35.65,0,https://www.amazon.ca/dp/B08TBZ7LPH/,https://m.media-amazon.com/images/I/61zDGwT42NL._AC_UY218_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-35.65
Utopia Bedding Gusseted Pillow (2-Pack) Premium Quality Bed Pillows - Side Back Sleepers - Blue Gusset - Queen - 18 x 26 Inches,34.99,0,https://www.amazon.ca/dp/B01FXSVBNI/,https://m.media-amazon.com/images/I/51BQIBV9mgS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-34.99
Saxx Men's Underwear – Vibe Men’s Underwear – Boxer Briefs with Built-in Ballpark Pouch Support - Core,33.95,0,https://www.amazon.ca/dp/B016OE5PJQ/,https://m.media-amazon.com/images/I/81QxKJJVcDL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-33.95
Saxx Men's Underwear – Vibe Men’s Underwear – Boxer Briefs with Built-in Ballpark Pouch Support - Core,33.95,0,https://www.amazon.ca/dp/B016OE5PJQ/,https://m.media-amazon.com/images/I/81QxKJJVcDL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-33.95
Saxx Men's Underwear – Vibe Men’s Underwear – Boxer Briefs with Built-in Ballpark Pouch Support - Core,33.95,0,https://www.amazon.ca/dp/B016OE5PJQ/,https://m.media-amazon.com/images/I/81QxKJJVcDL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-33.95
Saucony womens Performance Heel Tab Athletic Socks (8 & 16 Pairs),32.49,0,https://www.amazon.ca/dp/B07MRC3ZC2/,https://m.media-amazon.com/images/I/91x8tpSy3TL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-32.49
"APC 1500VA UPS Battery Backup & Surge Protector, APC UPS Back-UPS Pro (BX1500M)",315.39,0,https://www.amazon.ca/dp/B06VY6FXMM/,https://m.media-amazon.com/images/I/81lgJ++wufL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-315.39
Playtex Womens 18 Hour Original Comfort Strap Full Coverage Bra Us4693,31.92,0,https://www.amazon.ca/dp/B01M358XZ7/,https://m.media-amazon.com/images/I/81mtNnh5HOL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-31.92
Women's LA670WA-1 Daily Alarm Digital Watch,31.00,0,https://www.amazon.ca/dp/B000GB0G2A/,https://m.media-amazon.com/images/I/71AFLoXJWQL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-31.0
High Waisted Compression Leggings - Shapewear for Women,30.99,0,https://www.amazon.ca/dp/B07QKPCF12/,https://m.media-amazon.com/images/I/71vRr6zOdpL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-30.99
"USB Wall Charger Multiport, Surge Protector with Night Light & Shelf, 6 Outlet Extender with 3 USB Ports (1 USB-C Outlet), 3-Sided Power Strip Multi Outlet Wall Plug Adapter for Home Travel Office",30.99,0,https://www.amazon.ca/dp/B09JB4W3H6/,https://m.media-amazon.com/images/I/51b1QeDRE2L._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-30.99
Men's W96H-1BV Classic Sport Watch,30.37,0,https://www.amazon.ca/dp/B000AQVSA0/,https://m.media-amazon.com/images/I/91R8vHW8sDL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-30.37
Oyamiki Women's Notch-V Neck Long Sleeve Roll-Up Sleeve Zip Up Casual Shirt Blouse Tops,29.99,0,https://www.amazon.ca/dp/B07R4X8MF9/,https://m.media-amazon.com/images/I/71yVvZAXQ+L._AC_UY218_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-29.99
"Wireless F9 Earbuds with Touch Control, Original F9-5 Bluetooth Earphones 5.0 TWS Fingerprint Touch Headset HiFi Stereo in-Ear Earbuds Wireless Headphones for Sport",29.99,0,https://www.amazon.ca/dp/B09HT1XRSX/,https://m.media-amazon.com/images/I/31RaPKYL6OL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-29.99
"EverBrite 5-Pack LED Headlamp Flashlight for Running, Camping, Reading, Fishing, Hunting, Walking, Jogging - Head Lamps Long Battery Life (Batteries Included), Durable, Lightweight",29.99,0,https://www.amazon.ca/dp/B01CTX7BX4/,https://m.media-amazon.com/images/I/81cFtahSCrL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-29.99
"CyberPower P4WSU Professional Surge Protector, 900J/125V, 4 Swivel Outlets, 4 USB Charge Ports, White Wall Tap",29.41,0,https://www.amazon.ca/dp/B07VCGVDSS/,https://m.media-amazon.com/images/I/71tthHfbfnL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-29.41
Womens Long Sleeve Short Sleeve Lace Hem Trim Shirts A-Line Tunic Tops,28.99,0,https://www.amazon.ca/dp/B095LNSC2G/,https://m.media-amazon.com/images/I/61HMoJHF5lS._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-28.99
M GOO Kim Women's Cotton Underwear Lace Hipster Panties Briefs Assorted,28.99,0,https://www.amazon.ca/dp/B08DK68NMQ/,https://m.media-amazon.com/images/I/61-OFBGsBNL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-28.99
"Portable Charger, VYLEE Power Bank 16800mAh Ultra Slim USB Battery Charger, 4 Output Dual Input External Battery Pack with Flashlight, Backup Battery with LCD Display Compatible with All Mobile Phone",28.99,0,https://www.amazon.ca/dp/B09CPWDT1K/,https://m.media-amazon.com/images/I/819sUbfupxL._AC_UL320_.jpg,Amazon,2021-10-31T16:21:02,https://www.amazon.ca/s?k=lightning+deals,-28.99
